id,Event,Distance,Sex,Ranking,Time 1,Miliseconds,Relay,When,Swimmer,id2,Swimmer nationality,nCountry,Continent nationality,nContinent,Date,Meet,Meet location
swim332,100 m backstroke,100,Male,1,01:02.20,62002,,Final,David Theile,David_Theile,Australia,65,Oceania,66,"Thursday, December 6, 1956",,"Melbourne, Australia"
swim333,100 m backstroke,100,Male,2,01:01.50,61005,,Final,John Monckton,John_Monckton,Australia,180,Oceania,181,"Saturday, February 15, 1958",,"Melbourne, Australia"
swim334,100 m backstroke,100,Male,3,01:01.30,61003,,Final,Bob Bennett,Bob_Bennett,United States,725,America,755,"Saturday, August 19, 1961",,"Los Angeles, USA"
swim335,100 m backstroke,100,Male,4,01:01.00,61000,,Final,Tom Stock,Tom_Stock,United States,756,America,787,"Saturday, August 11, 1962",,"Cuyahoga Falls, USA"
swim336,100 m backstroke,100,Male,5,01:00.90,60009,,Final,Tom Stock,Tom_Stock,United States,515,America,539,"Sunday, August 12, 1962",,"Cuyahoga Falls, USA"
swim337,100 m backstroke,100,Male,6,01:00.80,60008,,Final,Ernst-Joachim K¸ppers,Ernst-Joachim_Kuppers,Germany,71,Europe,735,"Friday, August 28, 1964",,"Dortmund, West Germany"
swim338,100 m backstroke,100,Male,7,01:00.00,60000,,Final,Thompson Mann,Thompson_Mann,United States,170,America,179,"Thursday, September 3, 1964",,"New York City, USA"
swim339,100 m backstroke,100,Male,8,59.6,59006,,Final,Thompson Mann,Thompson_Mann,United States,913,America,946,"Friday, October 16, 1964",,"Tokyo, Japan"
swim340,100 m backstroke,100,Male,9,59.5,59005,,Final,Doug Russell,Doug_Russell,United States,867,America,900,"Monday, August 28, 1967",,"Tokyo, Japan"
swim341,100 m backstroke,100,Male,10,59.3,59003,,Final,Charlie Hickcox,Charlie_Hickcox,United States,868,America,901,"Monday, August 28, 1967",,"Tokyo, Japan"
swim342,100 m backstroke,100,Male,11,59.1,59001,,Final,Charlie Hickcox,Charlie_Hickcox,United States,259,America,274,"Thursday, August 31, 1967",,"Tokyo, Japan"
swim343,100 m backstroke,100,Male,12,58.4,58004,,Final,Roland Matthes,Roland_Matthes,East Germany,64,Europe,196,"Thursday, September 21, 1967",,"Leipzig, East Germany"
swim344,100 m backstroke,100,Male,13,58,58000,,Final,Roland Matthes,Roland_Matthes,East Germany,141,Europe,456,"Saturday, October 26, 1968",,"Mexico City, Mexico"
swim345,100 m backstroke,100,Male,14,57.8,57008,,Final,Roland Matthes,Roland_Matthes,East Germany,173,Europe,562,"Saturday, August 23, 1969",,"W¸rzburg, West Germany"
swim350,100 m backstroke,100,Male,19,56.19,56019,,Final,John Naber,John_Naber,United States,410,America,432,"Sunday, July 18, 1976",,"Montreal, Canada"
swim346,100 m backstroke,100,Male,15,56.9,56009,,Final,Roland Matthes,Roland_Matthes,East Germany,25,Europe,92,"Tuesday, September 8, 1970",,"Barcelona, Spain"
swim347,100 m backstroke,100,Male,16,56.7,56007,,Final,Roland Matthes,Roland_Matthes,East Germany,140,Europe,448,"Saturday, September 4, 1971",,"Leipzig, East Germany"
swim348,100 m backstroke,100,Male,17,56.3,56003,,Final,Roland Matthes,Roland_Matthes,East Germany,178,Europe,577,"Saturday, April 8, 1972",,"Moscow, USSR"
swim349,100 m backstroke,100,Male,18,56.3,56003,,Final,Roland Matthes,Roland_Matthes,East Germany,180,Europe,590,"Monday, September 4, 1972",,"Munich, West Germany"
swim351,100 m backstroke,100,Male,20,55.49,55049,,Final,John Naber,John_Naber,United States,841,America,873,"Monday, July 19, 1976",,"Montreal, Canada"
swim352,100 m backstroke,100,Male,21,55.44,55044,,Final,Rick Carey,Rick_Carey,United States,649,America,677,"Saturday, August 6, 1983",,"Clovis, California, USA"
swim353,100 m backstroke,100,Male,22,55.38,55038,,Final,Rick Carey,Rick_Carey,United States,650,America,678,"Saturday, August 6, 1983",,"Clovis, California, USA"
swim354,100 m backstroke,100,Male,23,55.19,55019,,Final,Rick Carey,Rick_Carey,United States,460,America,484,"Sunday, August 21, 1983",,"Caracas, Venezuela"
swim355,100 m backstroke,100,Male,24,55.17,55017,,Final,Igor Polyansky,Igor_Polyansky,Soviet Union,21,Europe,121,"Tuesday, March 15, 1988",,"Tallinn, USSR"
swim356,100 m backstroke,100,Male,25,55.16,55016,,Final,Igor Polyansky,Igor_Polyansky,Soviet Union,6,Europe,22,"Wednesday, March 16, 1988",,"Tallinn, USSR"
swim357,100 m backstroke,100,Male,26,55,55000,,Final,Igor Polyansky,Igor_Polyansky,Soviet Union,54,Europe,537,"Saturday, July 16, 1988",,"Moscow, USSR"
swim358,100 m backstroke,100,Male,27,54.95,54095,,Final,David Berkoff,David_Berkoff,United States,1057,America,1092,"Friday, August 12, 1988",,"Austin, Texas, USA"
swim359,100 m backstroke,100,Male,28,54.91,54091,,Final,David Berkoff,David_Berkoff,United States,1058,America,1093,"Friday, August 12, 1988",,"Austin, Texas, USA"
swim360,100 m backstroke,100,Male,29,54.51,54051,,Final,David Berkoff,David_Berkoff,United States,530,America,556,"Saturday, September 24, 1988",,"Seoul, South Korea"
swim361,100 m backstroke,100,Male,30,53.93,53093,,Final,Jeff Rouse,Jeff_Rouse,United States,446,America,470,"Sunday, August 25, 1991",,"Edmonton, Canada"
swim362,100 m backstroke,100,Male,31,53.86,53086,,Final,Jeff Rouse,Jeff_Rouse,United States,957,America,991,"Friday, July 31, 1992",,"Barcelona, Spain"
swim364,100 m backstroke,100,Male,33,53.45,53045,,Final,Aaron Peirsol,Aaron_Peirsol,United States,707,America,736,"Saturday, August 21, 2004",,"Athens, Greece"
swim365,100 m backstroke,100,Male,34,53.17,53017,,Final,Aaron Peirsol,Aaron_Peirsol,United States,778,America,809,"Saturday, April 2, 2005",,"Indianapolis, Indiana, USA"
swim363,100 m backstroke,100,Male,32,53.6,53006,,Final,Lenny Krayzelburg,Lenny_Krayzelburg,United States,150,America,157,"Tuesday, August 24, 1999",,"Sydney, Australia"
swim366,100 m backstroke,100,Male,35,52.98,52098,,Final,Aaron Peirsol,Aaron_Peirsol,United States,102,America,108,"Tuesday, March 27, 2007",,"Melbourne, Australia"
swim367,100 m backstroke,100,Male,36,52.89,52089,,Final,Aaron Peirsol,Aaron_Peirsol,United States,132,America,139,"Tuesday, July 1, 2008",,"Omaha, Nebraska, USA"
swim368,100 m backstroke,100,Male,37,52.54,52054,,Final,Aaron Peirsol,Aaron_Peirsol,United States,161,America,169,"Tuesday, August 12, 2008",,"Beijing, China"
swim369,100 m backstroke,100,Male,38,52.38,52038,,Final,Aschwin Wildeboer,Aschwin_Wildeboer,Spain,1,Europe,47,"Wednesday, July 1, 2009",,"Pescara, Italy"
swim370,100 m backstroke,100,Male,39,51.94,51094,,Final,Aaron Peirsol,Aaron_Peirsol,United States,24,America,27,"Wednesday, July 8, 2009",,"Indianapolis, Indiana, USA"
swim371,100 m backstroke,100,Male,40,51.85 (r),51085,,Relay 1st leg,Ryan Murphy,Ryan_Murphy,United States,746,America,776,"Saturday, August 13, 2016",,"Rio de Janeiro, Brazil"
swim1591,100 m backstroke,100,Female,1,01:07.70,67007,,,Cathy Ferguson,Cathy_Ferguson,United States,13,America,14,"Wednesday, October 14, 1964",Olympic Games,"Tokyo, Japan"
swim1592,100 m backstroke,100,Female,2,01:07.40,67004,,,Ann Farlie,Ann_Farlie,South Africa,18,Africa,18,"Saturday, July 23, 1966",,"BÈziers, France"
swim1593,100 m backstroke,100,Female,3,01:07.30,67003,,,Elaine Tanner,Elaine_Tanner,Canada,8,America,232,"Thursday, July 27, 1967",,"Winnipeg, Canada"
swim1594,100 m backstroke,100,Female,4,01:07.10,67001,,,Elaine Tanner,Elaine_Tanner,Canada,17,America,387,"Sunday, July 30, 1967",,"Winnipeg, Canada"
