Swimmer,records,id
All swimmers,2359,
A. Violas,1,1
Aaron Peirsol,18,2
Ada den Haan,8,3
Ada Kok,8,4
Adam Peaty,5,5
Adelaide Lambert,2,6
Adolph Kiefer,3,7
Adrian Moorhouse,3,8
Akihiro Yamaguchi,1,9
Al Vande Weghe,1,10
Alain Bernard,5,11
Alain Gottvallès,2,12
Alain Mosconi,2,13
Alajos Kenyery,1,14
Alan Ford,3,15
Alan Somers,1,16
Albina Osipowich,3,17
Aldo Eminente,1,18
Aleksandr Sidorenko,1,19
Alex Baumann,5,20
Alex Jany,5,21
Alexander Dzhaburiya,1,22
Alexander Popov,2,23
Alexander Schowtka,1,24
Alfred Nakache,1,25
Alice Browne,1,26
Alice Jones,3,27
Alice Mills,1,28
Allen Stack,2,29
Allison Higson,1,30
Allison Schmitt,1,31
Alva Colquhoun,1,32
Amanda Beard,2,33
Amanda Reason,1,34
Amy Van Dyken,1,35
Anastasia Zuyeva,2,36
András Hargitay,1,37
András Székely,1,38
András Wanié,1,39
Andrea Eife,2,40
Andrea Gyarmati,1,41
Andrea Hubner,2,42
Andrea Pollack,7,43
Andreas Schmidt,1,44
Andrei Dunayev,1,45
Andriy Serdinov,1,46
Andy Coan,3,47
Angel Martino,1,48
Angela Franke,1,49
Anita Lonsbrough,3,50
Anita Nall,3,51
Anke Möhring,2,52
Ann Bancroft,1,53
Ann Farlie,1,54
Ann Marshall,1,55
Ann Simmons,1,56
Anna-Karin Kammerling,3,57
Annamay Pierse,1,58
Anne Jardin,1,59
Anne-Katrin Schott,1,60
Annemarie Verstappen,1,61
Anni Kapell,1,62
Annie Speirs,1,63
Annie Timmermans,1,64
Annika Liebs,1,65
Annika Lurz,1,66
Anthony Robinson,1,67
Antje Stille,2,68
Ariana Kukors,2,69
Arne Borg,10,70
Árpád Lengyel,1,71
Artur Wojdat,1,72
Aschwin Wildeboer,1,73
Ashley Callus,1,74
Astrid Strauss,3,75
Atie Voorbij,5,76
Atsushi Tani,1,77
August Heitmann,1,78
Austin Clapp,2,79
Barbara Bedford,1,80
Barbara Göbel,2,81
Barbara Jackson,1,82
Barbara Krause,9,83
Becky Collins,4,84
Béla Las-Torres,1,85
Belle Moore,1,86
Ben Wildman-Tobriner,1,87
Betsy Mitchell,1,88
Bill Barrett,1,89
Bill Craig,2,90
Bill Devenish,1,91
Bill Forrester,1,92
Bill Frawley,1,93
Bill Kirby,3,94
Bill Mettler,1,95
Bill Smith,4,96
Birgit Meineke,5,97
Birgit Treiber,4,98
Birte Ove-Petersen,2,99
Bob Bennett,2,100
Bob Skelton,1,101
Bob Windle,1,102
Bobby Hackett,2,103
Boris Nikitin,1,104
Boy Charlton,4,105
Brad Cooper,2,106
Brendan Hansen,9,107
Brenton Rickard,1,108
Brian Goodell,5,109
Brian Job,1,110
Brian Wilkinson,2,111
Brita Hazelius,1,112
Britta Steffen,8,113
Brittany Elmslie,1,114
Bronte Barratt,1,115
Bronte Campbell,2,116
Bruce Furniss,10,117
Bruce Hayes,2,118
Bruce Stahl,1,119
Cameron van der Burgh,5,120
Caren Metschuck,2,121
Carin Cone,1,122
Carl Robie,4,123
Carly Piper,1,124
Carola Nitschke,2,125
Carolyn House,2,126
Carolyn Schuler,1,127
Carolyn Wood,1,128
Cate Campbell,3,129
Catherina Wagner,1,130
Cathy Calhoun,1,131
Cathy Carr,2,132
Cathy Ferguson,4,133
Catie Ball,9,134
Cecil Healy,2,135
César Cielo,2,136
Charles Campbell,1,137
Charles Daniels,3,138
Charles Hickcox,1,139
Charlie Hickcox,8,140
Charlotte Boyle,1,141
Charlotte Mühe,2,142
Chen Huijia,1,143
Chen Yan,1,144
Chet Jastremski,12,145
Chris Cavanaugh,4,146
Chris Fydler,1,147
Chris Jacobs,2,148
Chris von Saltza,5,149
Chris Woo,1,150
Christel Justen,1,151
Christian Sprenger,1,152
Christiane Knacke,1,153
Christine Gosden,1,154
Chuck Bittick,1,155
Cindy Schilling,1,156
Claire Guttenstein,1,157
Clare Dennis,1,158
Claudia Clevenger,1,159
Claudia Hempel,1,160
Claudia Kolb,11,161
Cocky Gastelaars,6,162
Cor Kint,2,163
Cornelia Sirch,2,164
Courtney Shealy,1,165
Craig Beardsley,2,166
Crissy Ahmann-Leighton,1,167
Cullen Jones,3,168
Cynthia Goyette,2,169
Cynthia Woodhead,5,170
Dai Guohong,1,171
Daisy Curwen,2,172
Dana Vollmer,4,173
Dániel Gyurta,1,174
Daniel Kowalski,1,175
Daniela Götz,1,176
Daniela Samulski,3,177
Dano Halsall,1,178
Dara Torres,6,179
Darian Townsend,1,180
Dave Fairbank,1,181
Dave Gillanders,1,182
David Berkoff,4,183
David Dickson,1,184
David Edgar,2,185
David Fox,1,186
David Larson,2,187
David Lyons,1,188
David McCagg,2,189
David Theile,1,190
David Walters,2,191
David Wharton,2,192
David Wilkie,3,193
David Young,1,194
Dawn Fraser,19,195
Debbie Meyer,15,196
Deena Deardurff,2,197
Denis Pankratov,4,198
Dennis Rounsaville,1,199
Diana Wilkinson,1,200
Dick Blick,1,201
Dick Cleveland,1,202
Dick Hanley,1,203
Dick Roth,4,204
Dick Thoman,2,205
Dimitri Komornikov,1,206
Dmitry Lepikov,1,207
Don Havens,2,208
Don McKenzie,1,209
Don Schollander,21,210
Don Sheff,2,211
Donna de Varona,16,212
Doug Gjertsen,1,213
Doug Northway,1,214
Doug Russell,4,215
Duke Kahanamoku,5,216
Duncan Armstrong,1,217
E. Van Den Bogaert,3,218
Eamon Sullivan,5,219
Ed Moses,3,220
Ed Townsend,4,221
Edith Mayne,1,222
Edith Wetzel,1,223
Edward Askamp,1,224
Edward Hueber,1,225
Edward Pope,2,226
Egon Henninger,1,227
